,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_roc_auc,mean_train_accuracy,mean_train_roc_auc,param_act,param_batch_size,param_dr,param_epochs,param_init,param_opti,params,rank_test_accuracy,rank_test_roc_auc,split0_test_accuracy,split0_test_roc_auc,split0_train_accuracy,split0_train_roc_auc,split1_test_accuracy,split1_test_roc_auc,split1_train_accuracy,split1_train_roc_auc,split2_test_accuracy,split2_test_roc_auc,split2_train_accuracy,split2_train_roc_auc,split3_test_accuracy,split3_test_roc_auc,split3_train_accuracy,split3_train_roc_auc,split4_test_accuracy,split4_test_roc_auc,split4_train_accuracy,split4_train_roc_auc,std_fit_time,std_score_time,std_test_accuracy,std_test_roc_auc,std_train_accuracy,std_train_roc_auc
0,213.47553071975707,4.9184201717376705,0.4954233409610984,0.45002991202476655,0.501144287538815,0.4597086525968164,tanh,4,0.5,6,glorot_normal,Adam,"{'init': 'glorot_normal', 'opti': 'Adam', 'act': 'tanh', 'batch_size': 4, 'dr': 0.5, 'epochs': 6}",9,10,0.48857142857142855,0.4035536933581627,0.5028612303290415,0.39033612370416615,0.4978540772532189,0.5690924124832171,0.5005362888809438,0.5913375600777175,0.4792560801144492,0.5421559783500082,0.5051841258491241,0.5320726409189647,0.4978540772532189,0.38490192225824416,0.5005362888809438,0.4114799570508232,0.5135908440629471,0.3505120432574144,0.4966035037540222,0.3733169812324105,2.586000260133589,0.14782159463468125,0.011402502485189979,0.08827291084678647,0.0028504816517401234,0.0862146064314729
1,137.46346850395201,4.487569141387939,0.5045766590389016,0.499705359870672,0.4988561216467879,0.5005024542386747,sigmoid,8,0.5,5,RandomNormal,Adagrad,"{'init': 'RandomNormal', 'opti': 'Adagrad', 'act': 'sigmoid', 'batch_size': 8, 'dr': 0.5, 'epochs': 5}",7,9,0.48857142857142855,0.5,0.5028612303290415,0.5,0.5021459227467812,0.5,0.49946371111905613,0.5,0.5207439198855508,0.5,0.4948158741508759,0.5,0.4978540772532189,0.49852637783672266,0.5005362888809438,0.5025122711933735,0.5135908440629471,0.5,0.4966035037540222,0.5,0.7512166996239124,0.16069255044748482,0.011402502485189977,0.0005893856283947442,0.0028506458796994385,0.0010049084773493977
2,129.33999156951904,5.44661545753479,0.7288329519450801,0.7964591034128186,0.7464246640714072,0.8218469329443675,relu,4,0.0,4,RandomNormal,Adagrad,"{'init': 'RandomNormal', 'opti': 'Adagrad', 'act': 'relu', 'batch_size': 4, 'dr': 0.0, 'epochs': 4}",3,4,0.7385714285714285,0.8086020451501194,0.7489270386266095,0.82922521158038,0.7353361945636624,0.8009791400595998,0.7511619592420451,0.8181051232232334,0.7010014306151645,0.7708299163523045,0.7533071147658206,0.8232159366575441,0.7424892703862661,0.7966892622065037,0.7601001072577762,0.8346027201145313,0.7267525035765379,0.8051777814189744,0.7186271004647837,0.8040856731461483,2.012346743896444,0.25608911733406603,0.014848348283880644,0.013422060437013002,0.014393014002058002,0.010473650392645877
3,163.00299181938172,5.893417739868164,0.6106979405034325,0.759752358851464,0.61676776108471,0.7762901854252935,relu,4,0.0,5,RandomUniform,Adagrad,"{'init': 'RandomUniform', 'opti': 'Adagrad', 'act': 'relu', 'batch_size': 4, 'dr': 0.0, 'epochs': 5}",6,5,0.5114285714285715,0.74331079094384,0.4971387696709585,0.7434875712516757,0.6194563662374821,0.7369134165111177,0.6460493385770468,0.7604486655077206,0.7110157367668097,0.78342627521732,0.7504469074007866,0.819980343548143,0.698140200286123,0.7834348495268034,0.6936002860207365,0.8169035688720729,0.5135908440629471,0.7516999836146158,0.4966035037540222,0.7406307779468553,1.523312854009405,0.08140241273657133,0.08610947097856517,0.019889286931931906,0.10332599494298332,0.03509084046707947
4,169.9948459625244,4.8013509750366214,0.4945652173913043,0.5005838290483505,0.5013583939055897,0.4988649876684712,sigmoid,16,0.25,7,glorot_normal,RMSprop,"{'init': 'glorot_normal', 'opti': 'RMSprop', 'act': 'sigmoid', 'batch_size': 16, 'dr': 0.25, 'epochs': 7}",10,7,0.5114285714285715,0.5029158090757619,0.4971387696709585,0.494324938342356,0.4978540772532189,0.5,0.5005362888809438,0.5,0.4792560801144492,0.5,0.5051841258491241,0.5,0.4978540772532189,0.5,0.5005362888809438,0.5,0.4864091559370529,0.5,0.5033964962459778,0.5,0.7747471923289285,0.08092803894377182,0.011019347025996717,0.0011668237571184443,0.002754887586754058,0.002270024663057591
5,283.3242794513702,6.674156427383423,0.5008581235697941,0.5,0.4997852798548209,0.4999296949353746,sigmoid,4,0.25,8,glorot_normal,Adamax,"{'init': 'glorot_normal', 'opti': 'Adamax', 'act': 'sigmoid', 'batch_size': 4, 'dr': 0.25, 'epochs': 8}",8,8,0.5114285714285715,0.5,0.4971387696709585,0.499648474676873,0.4978540772532189,0.5,0.5005362888809438,0.5,0.4792560801144492,0.5,0.5051841258491241,0.5,0.5021459227467812,0.5,0.49946371111905613,0.5,0.5135908440629471,0.5,0.4966035037540222,0.5,2.9633617443379796,0.37475041211230764,0.012256691838423912,0.0,0.003064071617578296,0.00014061012925079553
6,195.01137328147888,5.839167070388794,0.7208237986270023,0.7965121858723395,0.7396323620801564,0.8146605431949888,relu,8,0.25,7,RandomNormal,Adagrad,"{'init': 'RandomNormal', 'opti': 'Adagrad', 'act': 'relu', 'batch_size': 8, 'dr': 0.25, 'epochs': 7}",4,3,0.7371428571428571,0.8140252866803882,0.7585836909871244,0.8262876469805662,0.7195994277539342,0.7951747060942465,0.7382910260993922,0.8131158605174353,0.7267525035765379,0.8067082171559783,0.7550947443689667,0.8399185515179035,0.709585121602289,0.7548547663490193,0.7039685377189846,0.7716070150322119,0.7110157367668097,0.8117728985744715,0.7422238112263139,0.8223736419268276,1.945993917260185,0.08950961138882764,0.010253748695235675,0.021819460312833716,0.019383814342591715,0.023188966129456798
7,149.92128257751466,5.695484924316406,0.6807780320366132,0.7401479032396497,0.6927248589971986,0.7504300567044379,relu,16,0.25,6,glorot_normal,Adam,"{'init': 'glorot_normal', 'opti': 'Adam', 'act': 'relu', 'batch_size': 16, 'dr': 0.25, 'epochs': 6}",5,6,0.7328571428571429,0.8140252866803881,0.7571530758226037,0.827055681201838,0.7181688125894135,0.7978435995677375,0.736503396496246,0.8149066878003887,0.4792560801144492,0.5,0.5051841258491241,0.5,0.7424892703862661,0.7994482103677507,0.732213085448695,0.8087877083546375,0.7310443490701002,0.7893167294773062,0.7325706113693242,0.801400206165325,0.9624659764418504,0.07588303341507777,0.10104024520202116,0.12031531517923906,0.09421898542115556,0.12549701767793456
8,118.85050525665284,6.020050430297852,0.7411327231121282,0.822362100331092,0.7787435239984799,0.8826345789542606,relu,16,0.0,5,VarianceScaling,RMSprop,"{'init': 'VarianceScaling', 'opti': 'RMSprop', 'act': 'relu', 'batch_size': 16, 'dr': 0.0, 'epochs': 5}",2,2,0.7128571428571429,0.804412101016041,0.7281831187410587,0.8789885587973434,0.7224606580829757,0.8176883780332056,0.7840543439399357,0.9007858676756315,0.7668097281831188,0.8408971625389536,0.7979978548444763,0.8906264701430564,0.753934191702432,0.8041801748698302,0.7740436181623168,0.8510220881480722,0.7496423462088698,0.8446583647386532,0.8094386843046121,0.8917499100071993,0.8400668230412005,0.0711815232861513,0.020220352062953747,0.017408778728707375,0.02799846647822081,0.017257299355233877
9,191.50939478874207,6.375899887084961,0.7634439359267735,0.8449829779278214,0.9756156581008776,0.9973061206862702,tanh,16,0.0,8,VarianceScaling,Adam,"{'init': 'VarianceScaling', 'opti': 'Adam', 'act': 'tanh', 'batch_size': 16, 'dr': 0.0, 'epochs': 8}",1,1,0.7785714285714286,0.8548792838707568,0.9849785407725322,0.9989075595853332,0.753934191702432,0.8342830009496676,0.9703253485877726,0.9968703343900195,0.7882689556509299,0.8712153518123668,0.978190918841616,0.9976902135005666,0.753934191702432,0.8330795428496578,0.9771183410797283,0.9972717046732795,0.7424892703862661,0.8314435523513025,0.9674651412227386,0.995790791282152,0.6561930528641303,0.20508772856907045,0.017117238853038366,0.015654782884464553,0.00618016012844592,0.0010197500868704603
